Scene,Sampler,Integrator,Execution Time (ns)
sanmiguel-upstairs-across,sobol,volpath,801360
sanmiguel-upstairs-across,stratified,bdpt,630360
sanmiguel-upstairs-across,stratified,lightpath,806410
sanmiguel-upstairs-across,stratified,path,634039
sanmiguel-upstairs-across,stratified,randomwalk,843699
sanmiguel-upstairs-across,stratified,simplepath,805450
sanmiguel-upstairs-across,stratified,simplevolpath,616700
sanmiguel-upstairs-across,stratified,volpath,816059
sanmiguel-upstairs-across,zsobol,bdpt,615569
sanmiguel-upstairs-across,zsobol,lightpath,796709
sanmiguel-upstairs-across,zsobol,path,630260
sanmiguel-upstairs-across,zsobol,randomwalk,821900
sanmiguel-upstairs-across,zsobol,simplepath,579140
sanmiguel-upstairs-across,zsobol,simplevolpath,610110
sanmiguel-upstairs-across,zsobol,volpath,810530
sanmiguel-upstairs,halton,bdpt,609540
sanmiguel-upstairs,halton,lightpath,597180
sanmiguel-upstairs,halton,path,594279
sanmiguel-upstairs,halton,randomwalk,729680
sanmiguel-upstairs,halton,simplepath,919750
sanmiguel-upstairs,halton,simplevolpath,844230
sanmiguel-upstairs,halton,volpath,844010
sanmiguel-upstairs,independent,bdpt,842120
sanmiguel-upstairs,independent,lightpath,867669
sanmiguel-upstairs,independent,path,728250
sanmiguel-upstairs,independent,randomwalk,935509
sanmiguel-upstairs,independent,simplepath,851820
sanmiguel-upstairs,independent,simplevolpath,914790
sanmiguel-upstairs,independent,volpath,820270
sanmiguel-upstairs,paddedsobol,bdpt,712000
sanmiguel-upstairs,paddedsobol,lightpath,908610
sanmiguel-upstairs,paddedsobol,path,829198
sanmiguel-upstairs,paddedsobol,randomwalk,755590
sanmiguel-upstairs,paddedsobol,simplepath,923640
sanmiguel-upstairs,paddedsobol,simplevolpath,900809
sanmiguel-upstairs,paddedsobol,volpath,839550
sanmiguel-upstairs,sobol,bdpt,704030
sanmiguel-upstairs,sobol,lightpath,713130
sanmiguel-upstairs,sobol,path,550930
sanmiguel-upstairs,sobol,randomwalk,879340
sanmiguel-upstairs,sobol,simplepath,730109
sanmiguel-upstairs,sobol,simplevolpath,947809
sanmiguel-upstairs,sobol,volpath,833080
sanmiguel-upstairs,stratified,bdpt,825879
sanmiguel-upstairs,stratified,lightpath,815919
sanmiguel-upstairs,stratified,path,832120
sanmiguel-upstairs,stratified,randomwalk,872499
sanmiguel-upstairs,stratified,simplepath,629400
sanmiguel-upstairs,stratified,simplevolpath,815040
sanmiguel-upstairs,stratified,volpath,607020
sanmiguel-upstairs,zsobol,bdpt,595470
sanmiguel-upstairs,zsobol,lightpath,843640
sanmiguel-upstairs,zsobol,path,805170
sanmiguel-upstairs,zsobol,randomwalk,701480
sanmiguel-upstairs,zsobol,simplepath,648138
sanmiguel-upstairs,zsobol,simplevolpath,913920
sanmiguel-upstairs,zsobol,volpath,807310
bunny-fur,halton,bdpt,822260
bunny-fur,halton,lightpath,843929
bunny-fur,halton,path,824360
bunny-fur,halton,randomwalk,613030
bunny-fur,halton,simplepath,880210
bunny-fur,halton,simplevolpath,1088499
bunny-fur,halton,volpath,825710
bunny-fur,independent,bdpt,809969
bunny-fur,independent,lightpath,605600
bunny-fur,independent,path,882839
bunny-fur,independent,randomwalk,822810
bunny-fur,independent,simplepath,880620
bunny-fur,independent,simplevolpath,625920
bunny-fur,independent,volpath,855179
bunny-fur,paddedsobol,bdpt,816950
bunny-fur,paddedsobol,lightpath,595930
bunny-fur,paddedsobol,path,849920
bunny-fur,paddedsobol,randomwalk,817300
bunny-fur,paddedsobol,simplepath,739040
bunny-fur,paddedsobol,simplevolpath,858620
bunny-fur,paddedsobol,volpath,827559
bunny-fur,sobol,bdpt,811879
bunny-fur,sobol,lightpath,821999
bunny-fur,sobol,path,886409
bunny-fur,sobol,randomwalk,606239
bunny-fur,sobol,simplepath,833329
bunny-fur,sobol,simplevolpath,820130
bunny-fur,sobol,volpath,615840
bunny-fur,stratified,bdpt,792560
bunny-fur,stratified,lightpath,838600
bunny-fur,stratified,path,817920
bunny-fur,stratified,randomwalk,594399
bunny-fur,stratified,simplepath,617690
bunny-fur,stratified,simplevolpath,855789
bunny-fur,stratified,volpath,857439
bunny-fur,zsobol,bdpt,874280
bunny-fur,zsobol,lightpath,865109
bunny-fur,zsobol,path,599599
bunny-fur,zsobol,randomwalk,817480
