Scene,Sampler,Integrator,non contributing rays
sanmiguel-upstairs-across,stratified,volpath,0.7292869091033936
sanmiguel-upstairs-across,paddedsobol,bdpt,0.6186760663986206
sanmiguel-upstairs-across,sobol,path,0.7291194200515747
sanmiguel-upstairs-across,zsobol,randomwalk,0.9189156889915466
sanmiguel-upstairs-across,stratified,simplepath,0.7142027020454407
sanmiguel-upstairs-across,independent,randomwalk,0.9189435243606567
sanmiguel-upstairs-across,halton,simplepath,0.7141239047050476
clouds,halton,simplevolpath,0.4080364406108856
clouds,stratified,volpath,0.014347835443913937
clouds,independent,randomwalk,1.0
clouds,zsobol,bdpt,0.020755261182785034
clouds,stratified,bdpt,0.02074263244867325
clouds,independent,volpath,0.014348664321005344
clouds,zsobol,volpath,0.014334377832710743
clouds,paddedsobol,randomwalk,1.0
clouds,paddedsobol,simplevolpath,0.4080285131931305
clouds,zsobol,simplevolpath,0.40805351734161377
clouds,halton,randomwalk,1.0
clouds,halton,volpath,0.014336977154016495
clouds,sobol,bdpt,0.020764589309692383
clouds,stratified,randomwalk,1.0
clouds,sobol,randomwalk,1.0
clouds,sobol,simplevolpath,0.40809983015060425
clouds,paddedsobol,volpath,0.014345967210829258
clouds,zsobol,randomwalk,1.0
clouds,paddedsobol,bdpt,0.020748546347022057
clouds,halton,bdpt,0.020726175978779793
clouds,sobol,volpath,0.014330067671835423
clouds,stratified,simplevolpath,0.40807288885116577
clouds,independent,simplevolpath,0.40810397267341614
clouds,independent,bdpt,0.020757460966706276
bunny-cloud,zsobol,randomwalk,0.8962241411209106
bunny-cloud,stratified,simplepath,0.12856486439704895
bunny-cloud,sobol,volpath,0.08176244050264359
bunny-cloud,paddedsobol,simplepath,0.12853503227233887
bunny-cloud,zsobol,path,0.10335104912519455
bunny-cloud,paddedsobol,randomwalk,0.8962186574935913
bunny-cloud,halton,randomwalk,0.8962295055389404
bunny-cloud,paddedsobol,volpath,0.08174971491098404
bunny-cloud,halton,volpath,0.0816803053021431
bunny-cloud,sobol,bdpt,0.02084426023066044
bunny-cloud,zsobol,simplepath,0.12856131792068481
bunny-cloud,stratified,randomwalk,0.8962209820747375
bunny-cloud,stratified,volpath,0.08172725886106491
bunny-cloud,independent,simplepath,0.12853068113327026
bunny-cloud,zsobol,bdpt,0.020876064896583557
bunny-cloud,sobol,simplepath,0.12854348123073578
bunny-cloud,independent,randomwalk,0.8962147235870361
bunny-cloud,halton,simplepath,0.12858165800571442
bunny-cloud,independent,path,0.10329580307006836
bunny-cloud,paddedsobol,path,0.10330721735954285
bunny-cloud,stratified,path,0.10334111005067825
bunny-cloud,sobol,randomwalk,0.896224319934845
bunny-cloud,sobol,path,0.1033182218670845
bunny-cloud,stratified,bdpt,0.020873526111245155
bunny-cloud,independent,bdpt,0.020882274955511093
bunny-cloud,paddedsobol,bdpt,0.020876260474324226
bunny-cloud,independent,volpath,0.08174635469913483
bunny-cloud,zsobol,volpath,0.08173489570617676
bunny-cloud,halton,bdpt,0.020861657336354256
bunny-cloud,halton,path,0.10333520174026489
bunny-fur,sobol,simplepath,0.28384214639663696
bunny-fur,zsobol,randomwalk,0.6063530445098877
bunny-fur,independent,volpath,0.14973227679729462
bunny-fur,halton,volpath,0.14975722134113312
bunny-fur,independent,bdpt,0.13809283077716827
bunny-fur,stratified,simplepath,0.2838279902935028
bunny-fur,halton,path,0.14970949292182922
bunny-fur,independent,path,0.14971835911273956
bunny-fur,stratified,path,0.14971627295017242
bunny-fur,sobol,bdpt,0.13805599510669708
bunny-fur,zsobol,simplepath,0.28380879759788513
bunny-fur,sobol,path,0.14973625540733337
bunny-fur,independent,simplepath,0.28380757570266724
bunny-fur,paddedsobol,randomwalk,0.6064034700393677
bunny-fur,stratified,volpath,0.14969946444034576
bunny-fur,zsobol,path,0.14967861771583557
bunny-fur,halton,randomwalk,0.6063660979270935
bunny-fur,sobol,randomwalk,0.6064031720161438
bunny-fur,paddedsobol,volpath,0.1497262418270111
bunny-fur,paddedsobol,simplepath,0.28383174538612366
bunny-fur,zsobol,bdpt,0.13802741467952728
bunny-fur,sobol,volpath,0.1497378647327423
bunny-fur,zsobol,volpath,0.14968745410442352
bunny-fur,paddedsobol,bdpt,0.13810183107852936
bunny-fur,paddedsobol,path,0.149772509932518
bunny-fur,stratified,bdpt,0.13813011348247528
bunny-fur,independent,randomwalk,0.6063394546508789
bunny-fur,halton,simplepath,0.28384658694267273
bunny-fur,stratified,randomwalk,0.606325089931488
bunny-fur,halton,bdpt,0.1380792111158371
contemporary-bathroom,zsobol,simplepath,0.9481663107872009
contemporary-bathroom,paddedsobol,randomwalk,0.9520872235298157
contemporary-bathroom,halton,volpath,0.7545662522315979
contemporary-bathroom,sobol,simplepath,0.9481762051582336
contemporary-bathroom,stratified,bdpt,0.46966663002967834
contemporary-bathroom,zsobol,volpath,0.7545332312583923
contemporary-bathroom,independent,volpath,0.7546020746231079
contemporary-bathroom,independent,path,0.7595276832580566
contemporary-bathroom,sobol,path,0.759487509727478
contemporary-bathroom,stratified,path,0.759426474571228
contemporary-bathroom,stratified,volpath,0.7545801401138306
contemporary-bathroom,paddedsobol,bdpt,0.4698026776313782
contemporary-bathroom,paddedsobol,volpath,0.7545866370201111
contemporary-bathroom,independent,simplepath,0.9481663107872009
contemporary-bathroom,stratified,simplepath,0.9481729865074158
contemporary-bathroom,zsobol,bdpt,0.4697762131690979
contemporary-bathroom,halton,bdpt,0.469921350479126
contemporary-bathroom,zsobol,randomwalk,0.952089250087738
contemporary-bathroom,independent,bdpt,0.46985116600990295
contemporary-bathroom,paddedsobol,simplepath,0.9481834173202515
contemporary-bathroom,stratified,randomwalk,0.9521081447601318
contemporary-bathroom,halton,simplepath,0.9481668472290039
contemporary-bathroom,independent,randomwalk,0.9521003365516663
contemporary-bathroom,paddedsobol,path,0.7594719529151917
contemporary-bathroom,sobol,bdpt,0.46974825859069824
contemporary-bathroom,zsobol,path,0.7594606876373291
contemporary-bathroom,sobol,volpath,0.7545744776725769
contemporary-bathroom,halton,randomwalk,0.952089786529541
contemporary-bathroom,sobol,randomwalk,0.9520809650421143
contemporary-bathroom,halton,path,0.7594625949859619
bmw-m6,sobol,path,0.1314762830734253
bmw-m6,stratified,bdpt,0.1396188884973526
bmw-m6,independent,volpath,0.1317795366048813
bmw-m6,independent,randomwalk,0.6556344032287598
bmw-m6,sobol,randomwalk,0.6556645631790161
bmw-m6,paddedsobol,simplepath,0.2651537358760834
bmw-m6,stratified,simplepath,0.2651616036891937
bmw-m6,stratified,volpath,0.13181518018245697
bmw-m6,zsobol,bdpt,0.1396004855632782
bmw-m6,independent,simplepath,0.26517048478126526
bmw-m6,independent,path,0.13147978484630585
bmw-m6,independent,bdpt,0.13957804441452026
bmw-m6,halton,volpath,0.13178066909313202
bmw-m6,paddedsobol,bdpt,0.13964936137199402
bmw-m6,stratified,path,0.13149523735046387
bmw-m6,zsobol,volpath,0.13182225823402405
bmw-m6,zsobol,simplepath,0.2651803195476532
bmw-m6,stratified,randomwalk,0.655689001083374
bmw-m6,sobol,simplepath,0.2651605010032654
bmw-m6,paddedsobol,path,0.13153372704982758
bmw-m6,halton,randomwalk,0.6556484699249268
bmw-m6,halton,simplepath,0.2651359736919403
bmw-m6,halton,path,0.1314994990825653
bmw-m6,halton,bdpt,0.13958308100700378
bmw-m6,zsobol,path,0.1315116435289383
bmw-m6,paddedsobol,volpath,0.13179828226566315
bmw-m6,sobol,volpath,0.13180892169475555
bmw-m6,zsobol,randomwalk,0.655661404132843
bmw-m6,paddedsobol,randomwalk,0.6556764245033264
bmw-m6,sobol,bdpt,0.13961409032344818
bistro-boulangerie,zsobol,simplepath,0.810173511505127
bistro-boulangerie,halton,randomwalk,0.8976442217826843
bistro-boulangerie,stratified,bdpt,0.5333308577537537
bistro-boulangerie,paddedsobol,bdpt,0.5334010124206543
bistro-boulangerie,paddedsobol,volpath,0.6219692826271057
bistro-boulangerie,sobol,simplepath,0.8101921081542969
bistro-boulangerie,zsobol,bdpt,0.5333375930786133
bistro-boulangerie,stratified,volpath,0.622003436088562
bistro-boulangerie,stratified,simplepath,0.8101794123649597
bistro-boulangerie,independent,bdpt,0.5332808494567871
bistro-boulangerie,halton,bdpt,0.5333177447319031
bistro-boulangerie,independent,randomwalk,0.8976534605026245
bistro-boulangerie,zsobol,randomwalk,0.8976819515228271
bistro-boulangerie,independent,path,0.6217371821403503
bistro-boulangerie,zsobol,path,0.6217880249023438
bistro-boulangerie,halton,path,0.621783971786499
bistro-boulangerie,halton,volpath,0.6219805479049683
bistro-boulangerie,stratified,randomwalk,0.8976618051528931
bistro-boulangerie,independent,simplepath,0.8101810812950134
bistro-boulangerie,paddedsobol,path,0.6217743158340454
bistro-boulangerie,sobol,path,0.6217721700668335
bistro-boulangerie,halton,simplepath,0.8101757764816284
bistro-boulangerie,sobol,randomwalk,0.8976472020149231
bistro-boulangerie,independent,volpath,0.6219260692596436
bistro-boulangerie,paddedsobol,randomwalk,0.8976657390594482
bistro-boulangerie,zsobol,volpath,0.6219532489776611
bistro-boulangerie,sobol,volpath,0.622001051902771
bistro-boulangerie,stratified,path,0.6218385100364685
bistro-boulangerie,paddedsobol,simplepath,0.8101679086685181
bistro-boulangerie,sobol,bdpt,0.5333505272865295
